date,buy_avg_open_price,buy_margin,buy_pnl,buy_quantity,contract_multiplier,last_price,margin,margin_rate,order_book_id,sell_avg_open_price,sell_margin,sell_pnl,sell_quantity,symbol
2018-11-05,0.0,0.0,0.0,0.0,300.0,3262.6,7340850.0,0.15,IF88,3319.348,7340850.0,851220.0,50.0,沪深主力连续
2018-11-06,0.0,0.0,0.0,0.0,300.0,3245.0,7301250.0,0.15,IF88,3319.348,7301250.0,1115220.0,50.0,沪深主力连续
2018-11-07,0.0,0.0,0.0,0.0,300.0,3214.4,7232400.0,0.15,IF88,3319.348,7232400.0,1574220.0,50.0,沪深主力连续
2018-11-08,0.0,0.0,0.0,0.0,300.0,3215.2,7234200.0,0.15,IF88,3319.348,7234200.0,1562220.0,50.0,沪深主力连续
2018-11-09,0.0,0.0,0.0,0.0,300.0,3169.8,7132050.0,0.15,IF88,3319.348,7132050.0,2243220.0,50.0,沪深主力连续
2018-11-12,0.0,0.0,0.0,0.0,300.0,3204.0,7209000.0,0.15,IF88,3319.348,7209000.0,1730220.0,50.0,沪深主力连续
2018-11-13,0.0,0.0,0.0,0.0,300.0,3237.2,7283700.0,0.15,IF88,3319.348,7283700.0,1232220.0,50.0,沪深主力连续
2018-11-14,0.0,0.0,0.0,0.0,300.0,3203.6,7208100.0,0.15,IF88,3319.348,7208100.0,1736220.0,50.0,沪深主力连续
2018-11-15,0.0,0.0,0.0,0.0,300.0,3247.4,7306650.0,0.15,IF88,3319.348,7306650.0,1079220.0,50.0,沪深主力连续
2018-11-16,0.0,0.0,0.0,0.0,300.0,3259.8,7334550.0,0.15,IF88,3319.348,7334550.0,893220.0,50.0,沪深主力连续
2018-11-19,0.0,0.0,0.0,0.0,300.0,3296.4,7416900.0,0.15,IF88,3319.348,7416900.0,344220.0,50.0,沪深主力连续
2018-11-20,0.0,0.0,0.0,0.0,300.0,3223.4,7252650.0,0.15,IF88,3319.348,7252650.0,1439220.0,50.0,沪深主力连续
2018-11-21,0.0,0.0,0.0,0.0,300.0,3222.0,7249500.0,0.15,IF88,3319.348,7249500.0,1460220.0,50.0,沪深主力连续
2018-11-22,0.0,0.0,0.0,0.0,300.0,3212.0,7227000.0,0.15,IF88,3319.348,7227000.0,1610220.0,50.0,沪深主力连续
2018-11-23,0.0,0.0,0.0,0.0,300.0,3136.2,7056450.0,0.15,IF88,3319.348,7056450.0,2747220.0,50.0,沪深主力连续
2018-11-26,0.0,0.0,0.0,0.0,300.0,3130.4,7043400.0,0.15,IF88,3319.348,7043400.0,2834220.0,50.0,沪深主力连续
2018-11-27,0.0,0.0,0.0,0.0,300.0,3126.6,7034850.0,0.15,IF88,3319.348,7034850.0,2891220.0,50.0,沪深主力连续
2018-11-28,0.0,0.0,0.0,0.0,300.0,3171.4,7135650.0,0.15,IF88,3319.348,7135650.0,2219220.0,50.0,沪深主力连续
2018-11-29,0.0,0.0,0.0,0.0,300.0,3138.6,7061850.0,0.15,IF88,3319.348,7061850.0,2711220.0,50.0,沪深主力连续
2018-11-30,0.0,0.0,0.0,0.0,300.0,3168.0,7128000.0,0.15,IF88,3319.348,7128000.0,2270220.0,50.0,沪深主力连续
2018-12-03,0.0,0.0,0.0,0.0,300.0,3259.2,7333200.0,0.15,IF88,3319.348,7333200.0,902220.0,50.0,沪深主力连续
2018-12-04,0.0,0.0,0.0,0.0,300.0,3270.0,7357500.0,0.15,IF88,3319.348,7357500.0,740220.0,50.0,沪深主力连续
2018-12-05,0.0,0.0,0.0,0.0,300.0,3253.8,7321050.0,0.15,IF88,3319.348,7321050.0,983220.0,50.0,沪深主力连续
2018-12-06,0.0,0.0,0.0,0.0,300.0,3187.8,7172550.0,0.15,IF88,3319.348,7172550.0,1973220.0,50.0,沪深主力连续
2018-12-07,0.0,0.0,0.0,0.0,300.0,3179.6,7154100.0,0.15,IF88,3319.348,7154100.0,2096220.0,50.0,沪深主力连续
2018-12-10,0.0,0.0,0.0,0.0,300.0,3148.6,7084350.0,0.15,IF88,3319.348,7084350.0,2561220.0,50.0,沪深主力连续
2018-12-11,0.0,0.0,0.0,0.0,300.0,3164.6,7120350.0,0.15,IF88,3319.348,7120350.0,2321220.0,50.0,沪深主力连续
2018-12-12,0.0,0.0,0.0,0.0,300.0,3172.4,7137900.0,0.15,IF88,3319.348,7137900.0,2204220.0,50.0,沪深主力连续
2018-12-13,0.0,0.0,0.0,0.0,300.0,3222.8,7251300.0,0.15,IF88,3319.348,7251300.0,1448220.0,50.0,沪深主力连续
2018-12-14,0.0,0.0,0.0,0.0,300.0,3169.4,7131150.0,0.15,IF88,3319.348,7131150.0,2249220.0,50.0,沪深主力连续
2018-12-17,0.0,0.0,0.0,0.0,300.0,3167.8,7127550.0,0.15,IF88,3319.348,7127550.0,2273220.0,50.0,沪深主力连续
