date,cash,daily_pnl,margin,market_value,position_pnl,total_value,trading_pnl,transaction_cost
2017-09-12,39871838.431,-228000.0,4049400.0,-40494000.0,-228000.0,43921238.431,0.0,0.0
2017-09-13,40043438.431,156000.0,4033800.0,-40338000.0,156000.0,44077238.431,0.0,0.0
2017-09-14,40320638.431,252000.0,4008600.0,-40086000.0,252000.0,44329238.431,0.0,0.0
2017-09-15,40178738.431,-129000.0,4021500.0,-40215000.0,-129000.0,44200238.431,0.0,0.0
2017-09-18,40050038.431,-117000.0,4033200.0,-40332000.0,-117000.0,44083238.431,0.0,0.0
2017-09-19,40241438.431,174000.0,4015800.0,-40158000.0,174000.0,44257238.431,0.0,0.0
2017-09-20,40274438.431,30000.0,4012800.0,-40128000.0,30000.0,44287238.431,0.0,0.0
2017-09-21,40092938.431,-165000.0,4029300.0,-40293000.0,-165000.0,44122238.431,0.0,0.0
2017-09-22,40125938.431,30000.0,4026300.0,-40263000.0,30000.0,44152238.431,0.0,0.0
2017-09-25,40158938.431,30000.0,4023300.0,-40233000.0,30000.0,44182238.431,0.0,0.0
2017-09-26,40116038.431,-39000.0,4027200.0,-40272000.0,-39000.0,44143238.431,0.0,0.0
2017-09-27,40396538.431,255000.0,4001700.0,-40017000.0,255000.0,44398238.431,0.0,0.0
2017-09-28,40327238.431,-63000.0,4008000.0,-40080000.0,-63000.0,44335238.431,0.0,0.0
2017-09-29,40149038.431,-162000.0,4024200.0,-40242000.0,-162000.0,44173238.431,0.0,0.0
2017-10-09,39845438.431,-276000.0,4051800.0,-40518000.0,-276000.0,43897238.431,0.0,0.0
2017-10-10,39888338.431,39000.0,4047900.0,-40479000.0,39000.0,43936238.431,0.0,0.0
2017-10-11,39673838.431,-195000.0,4067400.0,-40674000.0,-195000.0,43741238.431,0.0,0.0
2017-10-12,39522038.431,-138000.0,4081200.0,-40812000.0,-138000.0,43603238.431,0.0,0.0
2017-10-13,39505538.431,-15000.0,4082700.0,-40827000.0,-15000.0,43588238.431,0.0,0.0
2017-10-16,39390038.431,-105000.0,4093200.0,-40932000.0,-105000.0,43483238.431,0.0,0.0
2017-10-17,39423038.431,30000.0,4090200.0,-40902000.0,30000.0,43513238.431,0.0,0.0
2017-10-18,39069938.431,-321000.0,4122300.0,-41223000.0,-321000.0,43192238.431,0.0,0.0
2017-10-19,39050138.431,-18000.0,4124100.0,-41241000.0,-18000.0,43174238.431,0.0,0.0
2017-10-20,39192038.431,129000.0,4111200.0,-41112000.0,129000.0,43303238.431,0.0,0.0
2017-10-23,39162338.431,-27000.0,4113900.0,-41139000.0,-27000.0,43276238.431,0.0,0.0
2017-10-24,38974238.431,-171000.0,4131000.0,-41310000.0,-171000.0,43105238.431,0.0,0.0
2017-10-25,38984138.431,9000.0,4130100.0,-41301000.0,9000.0,43114238.431,0.0,0.0
2017-10-26,38518838.431,-423000.0,4172400.0,-41724000.0,-423000.0,42691238.431,0.0,0.0
2017-10-27,37862138.431,-597000.0,4232100.0,-42321000.0,-597000.0,42094238.431,0.0,0.0
2017-10-30,38198738.431,306000.0,4201500.0,-42015000.0,306000.0,42400238.431,0.0,0.0
2017-10-31,38251538.431,48000.0,4196700.0,-41967000.0,48000.0,42448238.431,0.0,0.0
2017-11-01,38353838.431,93000.0,4187400.0,-41874000.0,93000.0,42541238.431,0.0,0.0
2017-11-02,38254838.431,-90000.0,4196400.0,-41964000.0,-90000.0,42451238.431,0.0,0.0
2017-11-03,38297738.431,39000.0,4192500.0,-41925000.0,39000.0,42490238.431,0.0,0.0
2017-11-06,38297738.431,0.0,4192500.0,-41925000.0,0.0,42490238.431,0.0,0.0
2017-11-07,37776338.431,-474000.0,4239900.0,-42399000.0,-474000.0,42016238.431,0.0,0.0
2017-11-08,37835738.431,54000.0,4234500.0,-42345000.0,54000.0,42070238.431,0.0,0.0
2017-11-09,37621238.431,-195000.0,4254000.0,-42540000.0,-195000.0,41875238.431,0.0,0.0
2017-11-10,37122938.431,-453000.0,4299300.0,-42993000.0,-453000.0,41422238.431,0.0,0.0
2017-11-13,36951338.431,-156000.0,4314900.0,-43149000.0,-156000.0,41266238.431,0.0,0.0
2017-11-14,37179038.431,207000.0,4294200.0,-42942000.0,207000.0,41473238.431,0.0,0.0
2017-11-15,37423238.431,222000.0,4272000.0,-42720000.0,222000.0,41695238.431,0.0,0.0
2017-11-16,36786338.431,-579000.0,4329900.0,-43299000.0,-579000.0,41116238.431,0.0,0.0
2017-11-17,35951438.431,-759000.0,4405800.0,-44058000.0,-759000.0,40357238.431,0.0,0.0
2017-11-20,35816138.431,-123000.0,4418100.0,-44181000.0,-123000.0,40234238.431,0.0,0.0
2017-11-21,34911938.431,-822000.0,4500300.0,-45003000.0,-822000.0,39412238.431,0.0,0.0
2017-11-22,34595138.431,-288000.0,4529100.0,-45291000.0,-288000.0,39124238.431,0.0,0.0
2017-11-23,35898638.431,1185000.0,4410600.0,-44106000.0,1185000.0,40309238.431,0.0,0.0
2017-11-24,35905238.431,6000.0,4410000.0,-44100000.0,6000.0,40315238.431,0.0,0.0
2017-11-27,36321038.431,378000.0,4372200.0,-43722000.0,378000.0,40693238.431,0.0,0.0
2017-11-28,36578438.431,234000.0,4348800.0,-43488000.0,234000.0,40927238.431,0.0,0.0
2017-11-29,36677438.431,90000.0,4339800.0,-43398000.0,90000.0,41017238.431,0.0,0.0
2017-11-30,37264838.431,534000.0,4286400.0,-42864000.0,534000.0,41551238.431,0.0,0.0
2017-12-01,37548638.431,258000.0,4260600.0,-42606000.0,258000.0,41809238.431,0.0,0.0
2017-12-04,37245038.431,-276000.0,4288200.0,-42882000.0,-276000.0,41533238.431,0.0,0.0
2017-12-05,36466238.431,-708000.0,4359000.0,-43590000.0,-708000.0,40825238.431,0.0,0.0
2017-12-06,37103138.431,579000.0,4301100.0,-43011000.0,579000.0,41404238.431,0.0,0.0
2017-12-07,37518938.431,378000.0,4263300.0,-42633000.0,378000.0,41782238.431,0.0,0.0
2017-12-08,37109738.431,-372000.0,4300500.0,-43005000.0,-372000.0,41410238.431,0.0,0.0
2017-12-11,36542138.431,-516000.0,4352100.0,-43521000.0,-516000.0,40894238.431,0.0,0.0
2017-12-12,37396838.431,777000.0,4274400.0,-42744000.0,777000.0,41671238.431,0.0,0.0
2017-12-13,37017338.431,-345000.0,4308900.0,-43089000.0,-345000.0,41326238.431,0.0,0.0
2017-12-14,37347338.431,300000.0,4278900.0,-42789000.0,300000.0,41626238.431,0.0,0.0
2017-12-15,37792838.431,405000.0,4238400.0,-42384000.0,405000.0,42031238.431,0.0,0.0
2017-12-18,37588238.431,-186000.0,4257000.0,-42570000.0,-186000.0,41845238.431,0.0,0.0
2017-12-19,36855638.431,-666000.0,4323600.0,-43236000.0,-666000.0,41179238.431,0.0,0.0
2017-12-20,36822638.431,-30000.0,4326600.0,-43266000.0,-30000.0,41149238.431,0.0,0.0
2017-12-21,36449738.431,-339000.0,4360500.0,-43605000.0,-339000.0,40810238.431,0.0,0.0
2017-12-22,36720338.431,246000.0,4335900.0,-43359000.0,246000.0,41056238.431,0.0,0.0
2017-12-25,36766538.431,42000.0,4331700.0,-43317000.0,42000.0,41098238.431,0.0,0.0
2017-12-26,36416738.431,-318000.0,4363500.0,-43635000.0,-318000.0,40780238.431,0.0,0.0
2017-12-27,37512338.431,996000.0,4263900.0,-42639000.0,996000.0,41776238.431,0.0,0.0
2017-12-28,37116338.431,-360000.0,4299900.0,-42999000.0,-360000.0,41416238.431,0.0,0.0
2017-12-29,37073438.431,-39000.0,4303800.0,-43038000.0,-39000.0,41377238.431,0.0,0.0
2018-01-02,36261638.431,-738000.0,4377600.0,-43776000.0,-738000.0,40639238.431,0.0,0.0
2018-01-03,36185738.431,-69000.0,4384500.0,-43845000.0,-69000.0,40570238.431,0.0,0.0
2018-01-04,36083438.431,-93000.0,4393800.0,-43938000.0,-93000.0,40477238.431,0.0,0.0
2018-01-05,35859038.431,-204000.0,4414200.0,-44142000.0,-204000.0,40273238.431,0.0,0.0
2018-01-08,35736938.431,-111000.0,4425300.0,-44253000.0,-111000.0,40162238.431,0.0,0.0
2018-01-09,35248538.431,-444000.0,4469700.0,-44697000.0,-444000.0,39718238.431,0.0,0.0
2018-01-10,34908638.431,-309000.0,4500600.0,-45006000.0,-309000.0,39409238.431,0.0,0.0
2018-01-11,34931738.431,21000.0,4498500.0,-44985000.0,21000.0,39430238.431,0.0,0.0
2018-01-12,34476338.431,-414000.0,4539900.0,-45399000.0,-414000.0,39016238.431,0.0,0.0
2018-01-15,34103438.431,-339000.0,4573800.0,-45738000.0,-339000.0,38677238.431,0.0,0.0
2018-01-16,33697538.431,-369000.0,4610700.0,-46107000.0,-369000.0,38308238.431,0.0,0.0
2018-01-17,33611738.431,-78000.0,4618500.0,-46185000.0,-78000.0,38230238.431,0.0,0.0
2018-01-18,33024338.431,-534000.0,4671900.0,-46719000.0,-534000.0,37696238.431,0.0,0.0
2018-01-19,32707538.431,-288000.0,4700700.0,-47007000.0,-288000.0,37408238.431,0.0,0.0
2018-01-22,32512838.431,-177000.0,4718400.0,-47184000.0,-177000.0,37231238.431,0.0,0.0
2018-01-23,31697738.431,-741000.0,4792500.0,-47925000.0,-741000.0,36490238.431,0.0,0.0
2018-01-24,31813238.431,105000.0,4782000.0,-47820000.0,105000.0,36595238.431,0.0,0.0
2018-01-25,32196038.431,348000.0,4747200.0,-47472000.0,348000.0,36943238.431,0.0,0.0
2018-01-26,31796738.431,-363000.0,4783500.0,-47835000.0,-363000.0,36580238.431,0.0,0.0
2018-01-29,32819738.431,930000.0,4690500.0,-46905000.0,930000.0,37510238.431,0.0,0.0
2018-01-30,33476438.431,597000.0,4630800.0,-46308000.0,597000.0,38107238.431,0.0,0.0
2018-01-31,32852738.431,-567000.0,4687500.0,-46875000.0,-567000.0,37540238.431,0.0,0.0
2018-02-01,32595338.431,-234000.0,4710900.0,-47109000.0,-234000.0,37306238.431,0.0,0.0
2018-02-02,32308238.431,-261000.0,4737000.0,-47370000.0,-261000.0,37045238.431,0.0,0.0
2018-02-05,31727438.431,-528000.0,4789800.0,-47898000.0,-528000.0,36517238.431,0.0,0.0
2018-02-06,33100238.431,1248000.0,4665000.0,-46650000.0,1248000.0,37765238.431,0.0,0.0
